name,category_tag
IBox,types
IIntersection,types
ILine,types
IMat2d,types
IPolygon,types
IPolyline,types
IRay,types
ISegment,types
IVec,types
OUT_MAX_X,const
OUT_MAX_Y,const
OUT_MIN_X,const
OUT_MIN_Y,const
boxAlloc,boxFunctions
boxClone,boxFunctions
boxComputeIntersection,boxFunctions
boxComputeUnion,boxFunctions
boxContainsBox,boxFunctions
boxContainsPoint,boxFunctions
boxEncapsulate,boxFunctions
boxEnclosingPoints,boxFunctions
boxGetOutCode,boxFunctions
boxGrow,boxFunctions
boxIntersectsBox,boxFunctions
boxIsEmpty,boxFunctions
boxReset,boxFunctions
boxScale,boxFunctions
boxTransformBy,boxFunctions
boxTranslate,boxFunctions
lineAlloc,lineFunctions
lineClone,lineFunctions
lineContainsPoint,lineFunctions
lineGetPointAt,lineFunctions
lineIntersectLine,lineFunctions
lineIntersectPolylineIterator,lineFunctions
lineIntersectRay,lineFunctions
lineIntersectSegment,lineFunctions
lineNearestDistanceToPoint,lineFunctions
lineNearestSignedDistanceToPoint,lineFunctions
lineProjectPoint,lineFunctions
lineReset,lineFunctions
lineThroughPoints,lineFunctions
lineTransformBy,lineFunctions
lineWhichSide,lineFunctions
mat2dAlloc,mat2dFunctions
mat2dClone,mat2dFunctions
mat2dDeterminant,mat2dFunctions
mat2dFromRotation,mat2dFunctions
mat2dFromTranslation,mat2dFunctions
mat2dIdentity,mat2dFunctions
mat2dInvert,mat2dFunctions
mat2dIsOrthogonal,mat2dFunctions
mat2dIsTranslationOnly,mat2dFunctions
mat2dMulMat2d,mat2dFunctions
mat2dReset,mat2dFunctions
mat2dRotate,mat2dFunctions
mat2dScale,mat2dFunctions
mat2dTranslate,mat2dFunctions
nearestPointResultAlloc,nearestPointResultFunctions
nearestPointResultClone,nearestPointResultFunctions
nearestPointResultReset,nearestPointResultFunctions
pointIntersectionResultAlloc,pointIntersectionResultFunctions
pointIntersectionResultClone,pointIntersectionResultFunctions
pointIntersectionResultReset,pointIntersectionResultFunctions
polygonAlloc,polygonFunctions
polygonContainsPointInside,polygonFunctions
polygonGetBounds,polygonFunctions
polygonGetNumSides,polygonFunctions
polygonGetPerimeterLength,polygonFunctions
polygonGetPerimeterPointAt,polygonFunctions
polygonGetSideLength,polygonFunctions
polygonGetSideSegment,polygonFunctions
polygonIntersectLineIterator,polygonFunctions
polygonIntersectRayIterator,polygonFunctions
polygonIntersectSegmentIterator,polygonFunctions
polygonNearestDistanceSqToPoint,polygonFunctions
polygonTransformBy,polygonFunctions
polylineAlloc,polylineFunctions
polylineClose,polylineFunctions
polylineGetBounds,polylineFunctions
polylineGetDistanceAtT,polylineFunctions
polylineGetLength,polylineFunctions
polylineGetNumSegments,polylineFunctions
polylineGetNumVertices,polylineFunctions
polylineGetPointAt,polylineFunctions
polylineGetSegment,polylineFunctions
polylineGetSegmentLength,polylineFunctions
polylineGetTAtDistance,polylineFunctions
polylineGetVertex,polylineFunctions
polylineIntersectLineIterator,polylineFunctions
polylineIntersectRayIterator,polylineFunctions
polylineIntersectSegmentIterator,polylineFunctions
polylineIsClosed,polylineFunctions
polylineNearestDistanceSqToPoint,polylineFunctions
polylineTransformBy,polylineFunctions
polylineTrim,polylineFunctions
rayAlloc,rayFunctions
rayClone,rayFunctions
rayContainsPoint,rayFunctions
rayGetPointAt,rayFunctions
rayIntersectLine,rayFunctions
rayIntersectPolylineIterator,rayFunctions
rayIntersectRay,rayFunctions
rayIntersectSegment,rayFunctions
rayLookAt,rayFunctions
rayNearestDistanceSqToPoint,rayFunctions
rayReset,rayFunctions
rayTransformBy,rayFunctions
segmentAlloc,segmentFunctions
segmentGetEndpoint0,segmentFunctions
segmentGetEndpoint1,segmentFunctions
segmentGetLength,segmentFunctions
segmentGetLengthSq,segmentFunctions
segmentGetPointAt,segmentFunctions
segmentIntersectLine,segmentFunctions
segmentIntersectPolylineIterator,segmentFunctions
segmentIntersectRay,segmentFunctions
segmentIntersectSegment,segmentFunctions
segmentNearestDistanceSqToPoint,segmentFunctions
segmentReset,segmentFunctions
segmentReverse,segmentFunctions
vecAdd,vecFunctions
vecAlloc,vecFunctions
vecClone,vecFunctions
vecCross,vecFunctions
vecDistance,vecFunctions
vecDistanceSq,vecFunctions
vecDot,vecFunctions
vecGetLength,vecFunctions
vecGetLengthSq,vecFunctions
vecGetManhattanLength,vecFunctions
vecLerp,vecFunctions
vecManhattanDistance,vecFunctions
vecNormalize,vecFunctions
vecOrigin,vecFunctions
vecPerp,vecFunctions
vecReset,vecFunctions
vecScale,vecFunctions
vecSubtract,vecFunctions
vecTransformBy,vecFunctions
